Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PGR-AS1","PGR Antisense RNA 1","RNA Gene","","19","GC11P104498","2.61751437187195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR-AS1"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P120068","2.45239043235779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"MPO","Myeloperoxidase","Protein Coding","P05164","66","GC17M058269","2.42950558662415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"CYBB","Cytochrome B-245 Beta Chain","Protein Coding","P04839","61","GC0XP037780","2.35038375854492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB"
"LIPG","Lipase G, Endothelial Type","Protein Coding","Q9Y5X9","57","GC18P049560","2.34499025344849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPG"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","2.33229088783264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"MIR33B","MicroRNA 33b","RNA Gene","","26","GC17M017813","2.31228566169739","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR33B"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","56","GC04P073740","2.30605387687683","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","2.29345655441284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"IL1A","Interleukin 1 Alpha","Protein Coding","P01583","58","GC02M112773","2.27080297470093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","P05107","63","GC21M044885","2.26592445373535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","66","GC22M021759","2.26459765434265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"APOC2","Apolipoprotein C2","Protein Coding","P02655","57","GC19P143136","2.24275660514832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC2"
"PON3","Paraoxonase 3","Protein Coding","Q15166","57","GC07M095359","2.20614719390869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON3"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","2.1801381111145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"LOC110973015","NOS3 5' Regulatory Region","Functional Element","","2","GC07P150988","2.15829706192017","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110973015"
"PRDM16","PR/SET Domain 16","Protein Coding","Q9HAZ2","58","GC01P067821","2.14454889297485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM16"
"CLMN","Calmin","Protein Coding","Q96JQ2","46","GC14M095181","2.14454889297485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLMN"
"FOXO1","Forkhead Box O1","Protein Coding","Q12778","64","GC13M040555","2.13097953796387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO1"
"CAT","Catalase","Protein Coding","P04040","64","GC11P034460","2.06112432479858","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"APOA2","Apolipoprotein A2","Protein Coding","P02652","59","GC01M161222","2.05895948410034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA2"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","P48736","63","GC07P106865","2.05054783821106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056411","2.04220914840698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","P02452","63","GC17M093791","2.03359222412109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"CXCL5","C-X-C Motif Chemokine Ligand 5","Protein Coding","P42830","52","GC04M073995","2.02302742004395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL5"
"TNFRSF12A","TNF Receptor Superfamily Member 12A","Protein Coding","Q9NP84","54","GC16P003018","1.98698043823242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF12A"
"MIR106A","MicroRNA 106a","RNA Gene","","26","GC0XM135351","1.98698043823242","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106A"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","P16035","54","GC17M078852","1.9727840423584","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","1.96802186965942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"CST3","Cystatin C","Protein Coding","P01034","56","GC20M024169","1.96093988418579","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","1.94939041137695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"LPXN","Leupaxin","Protein Coding","O60711","52","GC11M136313","1.93340754508972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPXN"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","28","GC02P233275","1.88118541240692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"APOC1","Apolipoprotein C1","Protein Coding","P02654","53","GC19P044914","1.86884331703186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC1"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","63","GC01M058780","1.80046987533569","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"IRS1","Insulin Receptor Substrate 1","Protein Coding","P35568","61","GC02M226731","1.784383893013","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1"
"FOXO3","Forkhead Box O3","Protein Coding","O43524","60","GC06P108559","1.77717232704163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3"
"ITLN1","Intelectin 1","Protein Coding","Q8WWA0","51","GC01M160876","1.7326328754425","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITLN1"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","1.73081088066101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"CYP1A2","Cytochrome P450 Family 1 Subfamily A Member 2","Protein Coding","P05177","59","GC15P074748","1.73081088066101","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2"
"UGT2B7","UDP Glucuronosyltransferase Family 2 Member B7","Protein Coding","P16662","56","GC04P069051","1.72045171260834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B7"
"CSF2","Colony Stimulating Factor 2","Protein Coding","P04141","59","GC05P132073","1.7064688205719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","O14746","64","GC05M001253","1.7014969587326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","64","GC02M177227","1.69877851009369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","P17948","64","GC13M028300","1.67000293731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"TEK","TEK Receptor Tyrosine Kinase","Protein Coding","Q02763","64","GC09P027109","1.67000293731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","P19438","63","GC12M006328","1.67000293731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","P20333","61","GC01P068258","1.67000293731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"SCARB2","Scavenger Receptor Class B Member 2","Protein Coding","Q14108","58","GC04M076158","1.67000293731689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARB2"
"AGER","Advanced Glycosylation End-Product Specific Receptor","Protein Coding","Q15109","59","GC06M032180","1.65815854072571","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER"
"LINC02605","Long Intergenic Non-Protein Coding RNA 2605","RNA Gene","","21","GC08P078838","1.65815854072571","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605"
"HSF1","Heat Shock Transcription Factor 1","Protein Coding","Q00613","60","GC08P144291","1.63575506210327","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF1"
"ANGPT1","Angiopoietin 1","Protein Coding","Q15389","59","GC08M107246","1.63575506210327","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1"
"LINC02702","Long Intergenic Non-Protein Coding RNA 2702","RNA Gene","","10","GC11P116647","1.63575506210327","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02702"
"CAV1","Caveolin 1","Protein Coding","Q03135","61","GC07P116524","1.63062632083893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1"
"CASP9","Caspase 9","Protein Coding","P55211","61","GC01M021095","1.60131239891052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9"
"SKP2","S-Phase Kinase Associated Protein 2","Protein Coding","Q13309","59","GC05P036151","1.57840418815613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKP2"
"MB","Myoglobin","Protein Coding","P02144","58","GC22M035606","1.57590568065643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MB"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","66","GC08P127735","1.56981825828552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","","20","GCMTM015957","1.56981825828552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","O15392","59","GC17P078214","1.55363607406616","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5"
"F2R","Coagulation Factor II Thrombin Receptor","Protein Coding","P25116","59","GC05P076716","1.53557050228119","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2R"
"MSR1","Macrophage Scavenger Receptor 1","Protein Coding","P21757","58","GC08M016107","1.53557050228119","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSR1"
"PTGIR","Prostaglandin I2 Receptor","Protein Coding","P43119","58","GC19M105165","1.52759552001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGIR"
"ADM","Adrenomedullin","Protein Coding","P35318","57","GC11P016182","1.52759552001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"MLXIPL","MLX Interacting Protein Like","Protein Coding","Q9NP71","55","GC07M073593","1.52759552001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIPL"
"HHIP","Hedgehog Interacting Protein","Protein Coding","Q96QV1","52","GC04P144645","1.52759552001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HHIP"
"MIR627","MicroRNA 627","RNA Gene","","23","GC15M042199","1.52759552001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR627"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","1.50006318092346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"VASP","Vasodilator Stimulated Phosphoprotein","Protein Coding","P50552","56","GC19P143148","1.50006318092346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASP"
"GPAM","Glycerol-3-Phosphate Acyltransferase, Mitochondrial","Protein Coding","Q9HCL2","54","GC10M112148","1.50006318092346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPAM"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","P19440","63","GC22P024583","1.4976886510849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","P08254","63","GC11M102835","1.4976886510849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"PAPPA","Pappalysin 1","Protein Coding","Q13219","56","GC09P149287","1.4976886510849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA"
"PHLPP2","PH Domain And Leucine Rich Repeat Protein Phosphatase 2","Protein Coding","Q6ZVD8","49","GC16M071637","1.4976886510849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP2"
"APOA4","Apolipoprotein A4","Protein Coding","P06727","55","GC11M116820","1.47583961486816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA4"
"TSC2","TSC Complex Subunit 2","Protein Coding","P49815","64","GC16P112285","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"COL2A1","Collagen Type II Alpha 1 Chain","Protein Coding","P02458","63","GC12M047972","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1"
"MMP13","Matrix Metallopeptidase 13","Protein Coding","P45452","63","GC11M102942","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP13"
"PTK2","Protein Tyrosine Kinase 2","Protein Coding","Q05397","61","GC08M140657","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2"
"ACAN","Aggrecan","Protein Coding","P16112","60","GC15P185133","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAN"
"CDKN3","Cyclin Dependent Kinase Inhibitor 3","Protein Coding","Q16667","54","GC14P055603","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN3"
"MIR532","MicroRNA 532","RNA Gene","","25","GC0XP060165","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR532"
"MIR577","MicroRNA 577","RNA Gene","","22","GC04P114656","1.47074913978577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR577"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","67","GC06P151656","1.45469093322754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"CCL22","C-C Motif Chemokine Ligand 22","Protein Coding","O00626","49","GC16P113744","1.45469093322754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL22"
"STAT6","Signal Transducer And Activator Of Transcription 6","Protein Coding","P42226","64","GC12M057095","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT6"
"CASP3","Caspase 3","Protein Coding","P42574","63","GC04M184627","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","63","GC20P044355","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"CYP27A1","Cytochrome P450 Family 27 Subfamily A Member 1","Protein Coding","Q02318","60","GC02P218781","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27A1"
"CTSS","Cathepsin S","Protein Coding","P25774","59","GC01M150730","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSS"
"IL2","Interleukin 2","Protein Coding","P60568","59","GC04M122451","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"IL4","Interleukin 4","Protein Coding","P05112","59","GC05P132673","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"STAT4","Signal Transducer And Activator Of Transcription 4","Protein Coding","Q14765","59","GC02M191029","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4"
"IL5","Interleukin 5","Protein Coding","P05113","58","GC05M132541","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5"
"ROCK2","Rho Associated Coiled-Coil Containing Protein Kinase 2","Protein Coding","O75116","58","GC02M011572","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK2"
"TAGLN","Transgelin","Protein Coding","Q01995","57","GC11P117199","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAGLN"
"MYOCD","Myocardin","Protein Coding","Q8IZQ8","56","GC17P012665","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOCD"
"CLDN3","Claudin 3","Protein Coding","O15551","54","GC07M073768","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN3"
"CSF3","Colony Stimulating Factor 3","Protein Coding","P09919","54","GC17P040015","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"RBP3","Retinol Binding Protein 3","Protein Coding","P10745","54","GC10P047348","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP3"
"CSN1S1","Casein Alpha S1","Protein Coding","P47710","50","GC04P070085","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSN1S1"
"MIR491","MicroRNA 491","RNA Gene","","29","GC09P020716","1.43925511837006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR491"
"LCK","LCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","P06239","65","GC01P032251","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCK"
"PTPRC","Protein Tyrosine Phosphatase Receptor Type C","Protein Coding","P08575","65","GC01P198607","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRC"
"ZAP70","Zeta Chain Of T Cell Receptor Associated Protein Kinase 70","Protein Coding","P43403","64","GC02P099091","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZAP70"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","Q07954","61","GC12P057128","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"SCD","Stearoyl-CoA Desaturase","Protein Coding","O00767","61","GC10P100347","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCD"
"AKR1B1","Aldo-Keto Reductase Family 1 Member B","Protein Coding","P15121","59","GC07M134442","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B1"
"CD14","CD14 Molecule","Protein Coding","P08571","59","GC05M140631","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14"
"CD38","CD38 Molecule","Protein Coding","P28907","59","GC04P028382","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD38"
"PTGER3","Prostaglandin E Receptor 3","Protein Coding","P43115","59","GC01M070852","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER3"
"PTGER4","Prostaglandin E Receptor 4","Protein Coding","P35408","59","GC05P040679","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER4"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","P13726","58","GC01M094997","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"DKK1","Dickkopf WNT Signaling Pathway Inhibitor 1","Protein Coding","O94907","57","GC10P052314","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKK1"
"MEF2D","Myocyte Enhancer Factor 2D","Protein Coding","Q14814","57","GC01M156463","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2D"
"AKR1A1","Aldo-Keto Reductase Family 1 Member A1","Protein Coding","P14550","56","GC01P045550","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1A1"
"PON2","Paraoxonase 2","Protein Coding","Q15165","56","GC07M095404","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON2"
"AKR1B10","Aldo-Keto Reductase Family 1 Member B10","Protein Coding","O60218","55","GC07P134527","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKR1B10"
"SAA1","Serum Amyloid A1","Protein Coding","P0DJI8","51","GC11P020053","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA1"
"TNFSF12","TNF Superfamily Member 12","Protein Coding","O43508","51","GC17P143370","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF12"
"MNDA","Myeloid Cell Nuclear Differentiation Antigen","Protein Coding","P41218","50","GC01P158831","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MNDA"
"MIR221","MicroRNA 221","RNA Gene","","29","GC0XM045746","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MIR222","MicroRNA 222","RNA Gene","","29","GC0XM045747","1.40500736236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR222"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","62","GC10P048306","1.40368759632111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"MMP8","Matrix Metallopeptidase 8","Protein Coding","P22894","60","GC11M137187","1.40368759632111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP8"
"NPPA","Natriuretic Peptide A","Protein Coding","P01160","57","GC01M020958","1.40368759632111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","P29475","63","GC12M117208","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"CACNA1S","Calcium Voltage-Gated Channel Subunit Alpha1 S","Protein Coding","Q13698","62","GC01M201008","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1S"
"RYR1","Ryanodine Receptor 1","Protein Coding","P21817","62","GC19P142895","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","P10809","61","GC02M197486","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"TGM2","Transglutaminase 2","Protein Coding","P21980","60","GC20M038127","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM2"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","P09038","59","GC04P122826","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"PPARD","Peroxisome Proliferator Activated Receptor Delta","Protein Coding","Q03181","59","GC06P173188","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARD"
"UGT1A9","UDP Glucuronosyltransferase Family 1 Member A9","Protein Coding","O60656","59","GC02P233671","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A9"
"PRDM1","PR/SET Domain 1","Protein Coding","O75626","58","GC06P173844","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM1"
"TFPI","Tissue Factor Pathway Inhibitor","Protein Coding","P10646","58","GC02M187464","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPI"
"UGT1A4","UDP Glucuronosyltransferase Family 1 Member A4","Protein Coding","P22310","56","GC02P233718","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A4"
"UGT1A6","UDP Glucuronosyltransferase Family 1 Member A6","Protein Coding","P19224","56","GC02P233691","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A6"
"UGT1A10","UDP Glucuronosyltransferase Family 1 Member A10","Protein Coding","Q9HAW8","54","GC02P233636","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A10"
"UGT1A7","UDP Glucuronosyltransferase Family 1 Member A7","Protein Coding","Q9HAW7","53","GC02P233681","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A7"
"UGT1A8","UDP Glucuronosyltransferase Family 1 Member A8","Protein Coding","Q9HAW9","52","GC02P234639","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A8"
"IFNL3","Interferon Lambda 3","Protein Coding","Q8IZI9","47","GC19M039243","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL3"
"UGT1A5","UDP Glucuronosyltransferase Family 1 Member A5","Protein Coding","P35504","47","GC02P233712","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A5"
"IFNL4","Interferon Lambda 4 (Gene/Pseudogene)","Protein Coding","K9M1U5","26","GC19M039246","1.37783873081207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL4"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","P11362","68","GC08M038400","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","P05106","65","GC17P144661","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","P12644","62","GC14M053949","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"TNFSF11","TNF Superfamily Member 11","Protein Coding","O14788","62","GC13P042562","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11"
"AQP2","Aquaporin 2","Protein Coding","P41181","61","GC12P049950","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP2"
"TGFB3","Transforming Growth Factor Beta 3","Protein Coding","P10600","61","GC14M075958","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB3"
"BMP7","Bone Morphogenetic Protein 7","Protein Coding","P18075","60","GC20M057168","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP7"
"TGFBR3","Transforming Growth Factor Beta Receptor 3","Protein Coding","Q03167","60","GC01M091680","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR3"
"TGM1","Transglutaminase 1","Protein Coding","P22735","59","GC14M024249","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM1"
"CD274","CD274 Molecule","Protein Coding","Q9NZQ7","58","GC09P005450","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"CD86","CD86 Molecule","Protein Coding","P42081","57","GC03P122055","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD86"
"HAVCR1","Hepatitis A Virus Cellular Receptor 1","Protein Coding","Q96D42","55","GC05M157028","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR1"
"CLEC4A","C-Type Lectin Domain Family 4 Member A","Protein Coding","Q9UMR7","49","GC12P068319","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4A"
"MIR106B","MicroRNA 106b","RNA Gene","","30","GC07M106401","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"MIR191","MicroRNA 191","RNA Gene","","30","GC03M054490","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"MIR20A","MicroRNA 20a","RNA Gene","","29","GC13P091735","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A"
"MIR17","MicroRNA 17","RNA Gene","","28","GC13P091350","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"MIR590","MicroRNA 590","RNA Gene","","28","GC07P074191","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR590"
"MIR381","MicroRNA 381","RNA Gene","","27","GC14P120235","1.36712551116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR381"
