Pharma Model,Num Feature,Fit,Norm Fit,zscore,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,Idication,,,,"
"
1k59_v,4,2.952,0.738,0.834929,0,4,0,0,0,0,Angiogenin,HYDROLASE,ANGI_HUMAN,"May function as a tRNA-specific ribonuclease that binds to actin on the surface of endothelial cells; once bound, angiogenin is endocytosed and translocated to the nucleus, thereby promoting the endothelial invasiveness necessary for blood vessel formatio","Defects in ANG are the cause of susceptibility to amyotrophic lateral sclerosis type 9 (ALS9) [MIM:611895]. ALS is a degenerative disorder of motor neurons in the cortex, brain stem and spinal cord. ALS is characterized by muscular weakness and atrophy.",NONE,,,,"
"
1o4m_v,4,2.935,0.7337,0.290946,0,2,0,0,2,0,Proto-oncogene tyrosine-protein kinase Src,SIGNALING PROTEIN,SRC_HUMAN,NONE,NONE,Hypercalcemia;Cancer;Osteoporosis;Cerebrovascular ischemia;Bone metastases;Metastasis;Solid tumor,,,,"
"
2f1g_v,3,2.201,0.7337,-0.570081,1,1,1,0,0,0,Cathepsin S,HYDROLASE,CATS_HUMAN,Thiol protease. Key protease responsible for the removal of the invariant chain from MHC class II molecules. The bond- specificity of this proteinase is in part similar to the specificities of cathepsin L and cathepsin N.,NONE,Psoriasis;Arteriosclerosis;Pain;Rheumatoid arthritis;Autoimmune disease;Allergy;Inflammation;Asthma;Multiple sclerosis;Immune disorder,,,,"
"
1m9r_v,4,2.934,0.7335,0.801749,2,1,0,1,0,0,"Nitric oxide synthase, endothelial",OXIDOREDUCTASE,NOS3_HUMAN,Produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. NO mediates vascular endothelial growth factor (VEGF)-induced angiogenesis in coronary vessels and promotes blood clot,NONE,Coronary artery disease;Hypertension;Congestive heart failure;Angina;Myocardial infarction;Peripheral vascular disease;Atherosclerosis;Ischemic heart disease,,,,"
"
1lhw_v,4,2.925,0.7312,0.750996,2,2,0,0,0,0,Sex hormone-binding globulin,TRANSPORT PROTEIN,SHBG_HUMAN,"Functions as an androgen transport protein, but may also be involved in receptor mediated processes. Each dimer binds one molecule of steroid. Specific for 5-alpha-dihydrotestosterone, testosterone, and 17-beta-estradiol. Regulates the plasma metabolic cl",NONE,NONE,,,,"
"
1cg6_v,5,3.651,0.7303,1.23914,2,1,2,0,0,0,S-methyl-5-thioadenosine phosphorylase,NONE,Q13126,Nucleotide transport and metabolism,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance",,,,"
"
1j99_v,4,2.915,0.7288,0.695258,3,0,1,0,0,0,Bile salt sulfotransferase,NONE,Q06520,Involved in sulfotransferase activity,NONE,NONE,,,,"
"
1j78_v,4,2.911,0.7277,-0.136096,4,0,0,0,0,0,Vitamin D-binding protein,"TRANSPORT, LIGAND BINDING PROTEIN",VTDB_HUMAN,"Multifunctional protein found in plasma, ascitic fluid, cerebrospinal fluid, and urine and on the surface of many cell types. In plasma, it carries the vitamin D sterols and prevents polymerization of actin by binding its monomers. DBP associates with mem",NONE,NONE,,,,"
"
1w84_v,4,2.908,0.7271,0.617712,3,0,1,0,0,0,Mitogen-activated protein kinase 14,NONE,Q16539,Involved in MAP kinase activity,NONE,NONE,,,,"
"
1u71_v,4,2.903,0.7257,0.855754,2,0,2,0,0,0,Dihydrofolate reductase,OXIDOREDUCTASE,DYR_HUMAN,NONE,NONE,NONE,,,,"
"
1w7m_v,4,2.901,0.7252,0.398183,1,1,0,1,1,0,Kynurenine--oxoglutarate transaminase 1,TRANSFERASE,KAT1_HUMAN,Catalyzes the irreversible transamination of the L- tryptophan metabolite L-kynurenine to form kynurenic acid (KA). Metabolizes the cysteine conjugates of certain halogenated alkenes and alkanes to form reactive metabolites. Catalyzes the beta- eliminatio,NONE,NONE,,,,"
"
1e7f_v,4,2.893,0.7232,0.485957,3,0,0,0,1,0,Serum albumin,PLASMA PROTEIN,ALBU_HUMAN,"Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs. Its main function is the regulation of the colloidal osmotic pressure of blood.",Defects in ALB are a cause of familial dysalbuminemic hyperthyroxinemia (FDH) [MIM:103600]. FDH is a form of euthyroid hyperthyroxinemia that is due to increased affinity of ALB for T(4). It is the most common cause of inherited euthyroid hyperthyroxinemia in Caucasian population.;A variant structure of albumin could lead to increased binding of zinc resulting in an asymptomatic augmentation of zinc concentration in the blood [MIM:194470].,NONE,,,,"
"
1n7i_v,4,2.892,0.7231,0.605948,3,0,0,1,0,0,Phenylethanolamine N-methyltransferase,TRANSFERASE,PNMT_HUMAN,Converts noradrenaline to adrenaline.,NONE,NONE,,,,"
"
1qkt_v,4,2.884,0.7209,0.269326,3,1,0,0,0,0,Estrogen receptor,NUCLEAR RECEPTOR,ESR1_HUMAN,Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues.,NONE,Melanoma;Brain tumor;Inflammation;Myocardial infarction;Fibrosis;Brain ischemia;Psoriasis;Rheumatoid arthritis;Retinitis pigmentosa;Atherosclerosis;Genitourinary disease;Breast disease;Atrophy;Crohns disease;Testosterone deficiency;Uterine fibroids;Fibrocystic breast disease;Arthralgia;Prostatitis;Prostate hyperplasia;Inflammatory bowel disease;Solid tumor;Gynecological disorder;Vascular disease;Contraception;Cancer;Sepsis;Hypercholesterolemia;Neurological disease;Ataxia;Cognitive disorder;Osteoporosis;Gynecomastia;Major depressive disorder;Acne;Female contraception;Dysmenorrhea;Neoplasm;Central nervous system disease;Multiple sclerosis;Alcoholism;Lacrimal gland disease;Carcinoma;Cardiovascular disease;Menopause;Unidentified indication;Alzheimers disease;Breast tumor;Scar tissue;Hyperlipidemia;Postmenopausal osteoporosis;Papillomavirus infection;Ovary tumor;Prostate tumor;Adrenal disease;Urinary dysfunction;Estrogen deficiency;Endometriosis;Hormone deficiency;Musculoskeletal disease;Glioma;Vagina disease;Non-small-cell lung cancer;Parkinsons disease;Uterus tumor;Psychiatric disorder,,,,"
"
1pjk_v,4,2.86,0.715,0.522906,0,3,0,0,1,0,Casein kinase II subunit alpha,NONE,P68400,Involved in protein kinase activity,NONE,Being investigated for the treatment of Herpes labialis infections (cold sores).,,,,"
"
1u3v_v,4,2.843,0.7108,0.579704,2,0,1,1,0,0,Alcohol dehydrogenase 1B,OXIDOREDUCTASE,ADH1B_HUMAN,NONE,NONE,NONE,,,,"
"
3dy6_v,4,2.841,0.7102,0.488685,3,1,0,0,0,0,Peroxisome proliferator-activated receptor delta,NONE,Q03181,Involved in DNA binding,NONE,"EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy.",,,,"
"
1dic_v,4,2.841,0.7102,0.63744,2,2,0,0,0,0,Complement factor D,SERINE PROTEASE,CFAD_HUMAN,"Factor D cleaves factor B when the latter is complexed with factor C3b, activating the C3bbb complex, which then becomes the C3 convertase of the alternate pathway. Its function is homologous to that of C1s in the classical pathway.",Defects in CFD are the cause of complement factor D deficiency [MIM:134350]. This deficiency predisposes to invasive meningococcal disease.,Autoimmune disease;Reperfusion injury;Age related macular degeneration,,,,"
"
3fzk_v,4,2.832,0.7079,0.69853,2,2,0,0,0,0,Heat shock cognate 71 kDa protein,NONE,P11142,"Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). This is achieved through cycles of ATP binding, ATP hydrolysis and ADP release, mediated by co-chaperones (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). The co-chaperones have been shown to not only regulate different steps of the ATPase cycle of HSP70, but they also have an individual specificity such that one co-chaperone may promote folding of a substrate while another may promote degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). The affinity of HSP70 for polypeptides is regulated by its nucleotide bound state. In the ATP-bound form, it has a low affinity for substrate proteins. However, upon hydrolysis of the ATP to ADP, it undergoes a conformational change that increases its affinity for substrate proteins. HSP70 goes through repeated cycles of ATP hydrolysis and nucleotide exchange, which permits cycles of substrate binding and release. The HSP70-associated co-chaperones are of three types: J-domain co-chaperones HSP40s (stimulate ATPase hydrolysis by HSP70), the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release), and the TPR domain chaperones such as HOPX and STUB1 (PubMed:24318877, PubMed:27474739, PubMed:24121476, PubMed:26865365). Acts as a repressor of transcriptional activation. Inhibits the transcriptional coactivator activity of CITED1 on Smad-mediated transcription. Component of the PRP19-CDC5L complex that forms an integral part of the spliceosome and is required for activating pre-mRNA splicing. May have a scaffolding role in the spliceosome assembly as it contacts all other components of the core complex. Binds bacterial lipopolysaccharide (LPS) and mediates LPS-induced inflammatory response, including TNF secretion by monocytes (PubMed:10722728, PubMed:11276205). Participates in the ER-associated degradation (ERAD) quality control pathway in conjunction with J domain-containing co-chaperones and the E3 ligase STUB1 (PubMed:23990462).",NONE,NONE,,,,"
"
3bgq_v,4,2.812,0.7029,0.333251,3,1,0,0,0,0,Proto-oncogene serine/threonine-protein kinase Pim-1,NONE,P11309,Involved in protein kinase activity,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance",,,,"
"
1gyk_v,4,2.805,0.7011,-0.137242,0,3,0,0,1,0,Serum amyloid P-component,NONE,P02743,Involved in unfolded protein binding,NONE,NONE,,,,"
"
1xan_v,4,2.803,0.7007,0.392151,2,1,1,0,0,0,"Glutathione reductase, mitochondrial",NONE,P00390,RNA processing and modification,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance",,,,"
"
2iej_v,4,2.792,0.6979,0.661912,2,2,0,0,0,0,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,TRANSFERASE,FNTA_HUMAN,Catalyzes the transfer of a farnesyl or geranyl-geranyl moiety from farnesyl or geranyl-geranyl pyrophosphate to a cysteine at the fourth position from the C-terminus of several proteins having the C-terminal sequence Cys-aliphatic-aliphatic-X. The alpha ,NONE,NONE,,,,"
"
1efk_v,4,2.78,0.695,-0.0399758,0,2,0,0,2,0,"NAD-dependent malic enzyme, mitochondrial",OXIDOREDUCTASE,MAOM_HUMAN,NONE,NONE,NONE,,,,"
"
1m4u_v,4,2.764,0.6911,0.50623,0,3,1,0,0,0,Bone morphogenetic protein 7,HORMONE/GROWTH FACTOR,BMP7_HUMAN,Induces cartilage and bone formation. May be the osteoinductive factor responsible for the phenomenon of epithelial osteogenesis. Plays a role in calcium regulation and bone homeostasis.,NONE,Tooth disease;Brain injury;Motor neurone disease;Cerebrovascular ischemia;Bone disease;Parkinsons disease;Renal failure;Periodontal disease,,,,"
"
1t84_v,5,3.455,0.6909,1.50743,5,0,0,0,0,0,Wiskott-Aldrich syndrome protein,SIGNALING PROTEIN,WASP_HUMAN,"Effector protein for Rho-type GTPases, providing a link with the Arp2/3 complex that regulates the structure and dynamics of the actin cytoskeleton. Important for efficient actin polymerization. Possible regulator of lymphocyte and platelet function.","Defects in WAS are the cause of Wiskott-Aldrich syndrome (WAS) [MIM:301000]; also known as eczema-thrombocytopenia- immunodeficiency syndrome. WAS is an X-linked recessive immunodeficiency characterized by eczema, thrombocytopenia, recurrent infections, and bloody diarrhea. Death usually occurs before age 10.;Defects in WAS are the cause of thrombocytopenia type 1 (THC1) [MIM:313900]. Thrombocytopenia is defined by a decrease in the number of platelets in circulating blood, resulting in the potential for increased bleeding and decreased ability for clotting.;Defects in WAS are a cause of X-linked severe congenital neutropenia (XLN) [MIM:300299]. XLN is an X-linked immunodeficiency syndrome characterized by recurrent major bacterial infections, severe congenital neutropenia, and monocytopenia.",Wiskott-Aldrich syndrome,,,,"
"
1fa9_v,4,2.76,0.6899,0.489627,0,2,2,0,0,0,"Glycogen phosphorylase, liver form",NONE,P06737,Carbohydrate transport and metabolism,NONE,For nutritional supplementation and for treating dietary shortage or imbalance.,,,,"
"
1t2f_v,5,3.444,0.6889,1.73779,0,3,1,0,1,0,L-lactate dehydrogenase B chain,NONE,P07195,Energy production and conversion,NONE,"Some evidence suggests that NADH might be useful in treating Parkinsons disease, chronic fatigue syndrome, Alzheimers disease and cardiovascular disease.",,,,"
"
1h1s_v,4,2.745,0.6862,0.465789,2,2,0,0,0,0,Cyclin-A2,TRANSFERASE,CCNA2_HUMAN,Essential for the control of the cell cycle at the G1/S (start) and the G2/M (mitosis) transitions.,NONE,NONE,,,,"
"
2c47_v,4,2.725,0.6812,0.422609,1,1,2,0,0,0,Casein kinase I isoform gamma-2,TRANSFERASE,KC1G2_HUMAN,Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. It can phosphorylate a large number of proteins. Participates in Wnt signaling (By similarity).,NONE,NONE,,,,"
"
1mkj_v,4,2.71,0.6774,-0.504852,0,2,0,0,2,0,Kinesin heavy chain,NONE,P33176,Involved in microtubule motor activity,NONE,NONE,,,,"
"
1o6u_v,5,3.382,0.6765,1.08849,5,0,0,0,0,0,SEC14-like protein 2,NONE,O76054,Involved in transporter activity,NONE,"Vitamin E, known for its antioxidant activities, is protective against cardiovascular disease and some forms of cancer and has also demonstrated immune-enhancing effects. It may be of limited benefit in some with asthma and rheumatoid arthritis. It may be helpful in some neurological diseases including Alzheimers, some eye disorders including cataracts, and diabetes and premenstrual syndrome. It may also help protect skin from ultraviolet irradiation although claims that it reverses skin aging, enhances male fertility and exercise performance are poorly supported. It may help relieve some muscle cramps.",,,,"
"
1m17_v,4,2.706,0.6765,0.244063,2,2,0,0,0,0,Epidermal growth factor receptor,TRANSFERASE,EGFR_HUMAN,"Receptor for EGF, but also for other members of the EGF family, as TGF-alpha, amphiregulin, betacellulin, heparin-binding EGF-like growth factor, GP30 and vaccinia virus growth factor. Is involved in the control of cell growth and differentiation. Phospho;Isoform 2/truncated isoform may act as an antagonist.",Defects in EGFR are associated with lung cancer [MIM:211980].,Squamous cell carcinoma;Arteriosclerosis;Melanoma;Central nervous system tumor;Diabetes mellitus;Esophagus tumor;Ischemic heart disease;Brain tumor;Nasopharyngeal carcinoma;Liver tumor;Pancreas tumor;Lung tumor;Psoriasis;Bladder tumor;Esophageal disease;Mesothelioma;Atherosclerosis;Multiple myeloma;Bacterial infection;Uterine cervix tumor;Nasopharynx tumor;Carcinoma;Restenosis;Stomach tumor;Thyroid tumor;Small-cell lung cancer;Renal disease;Nervous system tumor;Hepatobiliary system tumor;Breast tumor;Head and neck tumor;Ovary tumor;Prostate tumor;Renal tumor;Solid tumor;Colon tumor;Glioma;Cancer;Non-small-cell lung cancer;Metastasis;Renal cell carcinoma;Glioblastoma;Colorectal tumor;Neoplasm;Sarcoma;Hypercholesterolemia,,,,"
"
1mfu_v,4,2.705,0.6763,0.231433,0,2,2,0,0,0,Alpha-amylase 1,NONE,P04745,Carbohydrate transport and metabolism,NONE,NONE,,,,"
"
1d3g_v,4,2.698,0.6745,0.0525465,3,0,1,0,0,0,"Dihydroorotate dehydrogenase, mitochondrial",OXIDOREDUCTASE,PYRD_HUMAN,NONE,NONE,NONE,,,,"
"
2shp_v,5,3.35,0.6701,1.28353,4,0,0,1,0,0,Tyrosine-protein phosphatase non-receptor type 11,TYROSINE PHOSPHATASE,PTN11_HUMAN,Acts downstream of various receptor and cytoplasmic protein tyrosine kinases to participate in the signal transduction from the cell surface to the nucleus.,"Defects in PTPN11 are the cause of LEOPARD syndrome [MIM:151100]. It is an autosomal dominant disorder allelic with Noonan syndrome. The acronym LEOPARD stands for lentigines, electrocardiographic conduction abnormalities, ocular hypertelorism, pulmonic stenosis, abnormalities of genitalia, retardation of growth, and deafness.;Defects in PTPN11 are the cause of Noonan syndrome 1 (NS1) [MIM:163950]. Noonan syndrome (NS) is a disorder characterized by dysmorphic facial features, short stature, hypertelorism, cardiac anomalies, deafness, motor delay, and a bleeding diathesis. It is a genetically heterogeneous and relatively common syndrome, with an estimated incidence of 1 in 1000-2500 live births. Mutations in PTPN11 account for more than 50% of the cases. Rarely, NS is associated with juvenile myelomonocytic leukemia (JMML). NS1 inheritance is autosomal dominant.;Defects in PTPN11 are a cause of Noonan-like syndrome [MIM:163955]; also known as Noonan-like/multiple giant cell lesion syndrome. It is an autosomal dominant disorder characterized by Noonan features associates with giant cell lesions of bone and soft tissue.;Defects in PTPN11 are a cause of juvenile myelomonocytic leukemia (JMML) [MIM:607785]. JMML is a pediatric myelodysplastic syndrome that constitutes approximately 30% of childhood cases of myelodysplastic syndrome (MDS) and 2% of leukemia. It is characterized by leukocytosis with tissue infiltration and in vitro hypersensitivity of myeloid progenitors to granulocyte- macrophage colony stimulating factor.",NONE,,,,"
"
1v83_v,4,2.675,0.6687,-0.359394,0,2,0,0,2,0,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,TRANSFERASE,B3GA1_HUMAN,"Involved in the biosynthesis of L2/HNK-1 carbohydrate epitope on glycoproteins. Can also play a role in glycosaminoglycan biosynthesis. Substrates include asialo- orosomucoid (ASOR), asialo-fetuin, and asialo-neural cell adhesion molecule. Requires sphing",NONE,NONE,,,,"
"
1muo_v,3,2.004,0.6679,-1.22424,0,2,1,0,0,0,Serine/threonine-protein kinase 6,TRANSFERASE,STK6_HUMAN,"May play a role in cell cycle regulation during anaphase and/or telophase, in relation to the function of the centrosome/spindle pole region during chromosome segregation. May be involved in microtubule formation and/or stabilization. May play a key role ",Defects in AURKA are responsible for numerical centrosome aberrations including aneuploidy.,Pancreas tumor;Cancer;Solid tumor,,,,"
"
1s5o_v,4,2.667,0.6668,0.385545,0,2,1,1,0,0,Carnitine O-acetyltransferase,TRANSFERASE,CACP_HUMAN,Carnitine acetylase is specific for short chain fatty acids. Carnitine acetylase seems to affect the flux through the pyruvate dehydrogenase complex. It may be involved as well in the transport of acetyl-CoA into mitochondria.,NONE,NONE,,,,"
"
3czr_v,5,3.33,0.666,1.12544,4,1,0,0,0,0,Corticosteroid 11-beta-dehydrogenase isozyme 1,OXIDOREDUCTASE,DHI1_HUMAN,"Catalyzes reversibly the conversion of cortisol to the inactive metabolite cortisone. Catalyzes reversibly the conversion of 7-ketocholesterol to 7-beta-hydroxycholesterol. In intact cells, the reaction runs only in one direction, from 7- ketocholesterol ","Defects in HSD11B1 are a cause of cortisone reductase deficiency (CRD) [MIM:604931]. In CRD, activation of cortisone to cortisol does not occur, resulting in adrenocorticotropin-mediated androgen excess and a phenotype resembling polycystic ovary syndrome (PCOS).",Non-insulin dependent diabetes;Rheumatoid arthritis;Diabetes mellitus;Obesity;Atherosclerosis;Metabolic disorder;Periodontitis,,,,"
"
2zmm_v,4,2.652,0.663,-0.274637,2,0,0,0,2,0,Tyrosine-protein phosphatase non-receptor type 1,NONE,P18031,Involved in protein tyrosine phosphatase activity,NONE,For the management of hypercalcemia of malignancy and as an adjunct in the management of osteolysis resulting from bone metastases of malignant tumors.,,,,"
"
1ya3_v,4,2.648,0.6621,0.0534122,3,1,0,0,0,0,Mineralocorticoid receptor,TRANSCRIPTION,MCR_HUMAN,Receptor for both mineralocorticoids (MC) such as aldosterone and glucocorticoids (GC) such as corticosterone or cortisol. Binds to mineralocorticoid response elements (MRE) and transactivates target genes. The effect of MC is to increase ion and water tr,"Defects in NR3C2 are a cause of autosomal dominant pseudohypoaldosteronism type I (PHA1) [MIM:177735]. PHA1 is characterized by urinary salt wasting, resulting from target organ unresponsiveness to mineralocorticoids. There are 2 forms of PHA1: the autosomal dominant form that is mild, and the recessive form which is more severe and due to defects in any of the epithelial sodium channel subunits. In autosomal dominant PHA1 the target organ defect is confined to kidney. Clinical expression can vary from asymptomatic to moderate. It may be severe at birth, but symptoms remit with age. Familial and sporadic cases have been reported.;Defects in NR3C2 are a cause of early onset hypertension with severe exacerbation in pregnancy [MIM:605115]. Inheritance is autosomal dominant. The disease is characterized by the onset of severe hypertension before the age of 20, and by suppression of aldosterone secretion.",Metabolic disorder;Hypertension;Cardiovascular disease;Urinary tract disease,,,,"
"
1mx1_v,4,2.62,0.655,-0.135286,3,1,0,0,0,0,Liver carboxylesterase 1,HYDROLASE,EST1_HUMAN,"Involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs. Hydrolyzes aromatic and aliphatic esters, but has no catalytic activity toward amides or a fatty acyl CoA ester.",NONE,Arteriosclerosis;Cerebrovascular disease;Cancer;Melanoma;Multiple myeloma;Hypercholesterolemia;Atherosclerosis;Breast tumor;Hyperlipidemia;Solid tumor;Cardiovascular disease;Prostate tumor;Alzheimers disease;Dementia;Osteoporosis,,,,"
"
1ca7_v,4,2.606,0.6515,-0.0452563,1,2,0,0,1,0,Macrophage migration inhibitory factor,CYTOKINE,MIF_HUMAN,The expression of MIF at sites of inflammation suggest a role for the mediator in regulating the function of macrophage in host defense. Also acts as a phenylpyruvate tautomerase.,"Genetic variations in MIF are associated with susceptibility to systemic juvenile rheumatoid arthritis [MIM:604302]. Systemic juvenile rheumatoid arthritis is juvenile chronic arthritis associated with severe, debilitating, extraarticular features, and occasionally fatal complications. Despite medical treatment, many children still experience early joint destruction, necessitating surgical replacement.",Insulin dependent diabetes;Glomerulonephritis;Cancer;Rheumatoid arthritis;Sepsis;Autoimmune disease;Atherosclerosis;Infection;Inflammation;Myocardial infarction;Immune disorder,,,,"
"
1l8l_v,4,2.602,0.6505,-0.398379,0,2,0,1,1,0,Phosphoserine phosphatase,NONE,P78330,Catalyzes the last step in the biosynthesis of serine from carbohydrates. The reaction mechanism proceeds via the formation of a phosphoryl-enzyme intermediates.,NONE,NONE,,,,"
"
1agw_v,4,2.601,0.6504,-0.020629,2,1,1,0,0,0,Basic fibroblast growth factor receptor 1,PROTEIN KINASE,FGFR1_HUMAN,Receptor for basic fibroblast growth factor. A shorter form of the receptor could be a receptor for FGF1 (aFGF).,"Defects in FGFR1 are a cause of Pfeiffer syndrome (PS) [MIM:101600]; also known as acrocephalosyndactyly type V (ACS5). PS is characterized by craniosynostosis (premature fusion of the skull sutures) with deviation and enlargement of the thumbs and great toes, brachymesophalangy, with phalangeal ankylosis and a varying degree of soft tissue syndactyly.;Defects in FGFR1 are a cause of isolated hypogonadotropic hypogonadism (IHH) [MIM:146110]. Hypogonadism is a condition characterized by abnormally decreased gonadal function, with retardation of growth and sexual development. Hypogonadotropic hypogonadism is due to inadequate secretion of gonadotropins. It results from failure to release sufficient gonadotropin-releasing hormone.;Defects in FGFR1 are the cause of Kallmann syndrome type 2 (KAL2) [MIM:147950]; also known as hypogonadotropic hypogonadism and anosmia. Anosmia or hyposmia is related to the absence or hypoplasia of the olfactory bulbs and tracts. Hypogonadism is due to deficiency in gonadotropin-releasing hormone and probably results from a failure of embryonic migration of gonadotropin- releasing hormone-synthesizing neurons. In some cases, midline cranial anomalies (cleft lip/palate and imperfect fusion) are present and anosmia may be absent or inconspicuous.;Defects in FGFR1 are the cause of osteoglophonic dysplasia (OGD) [MIM:166250]; also known as osteoglophonic dwarfism. OGD is characterized by craniosynostosis, prominent supraorbital ridge, and depressed nasal bridge, as well as by rhizomelic dwarfism and nonossifying bone lesions. Inheritance is autosomal dominant.;Defects in FGFR1 are the cause of non-syndromic trigonocephaly [MIM:190440]; also known as metopic craniosynostosis. The term trigonocephaly describes the typical keel-shaped deformation of the forehead resulting from premature fusion of the frontal suture. Trigonocephaly may occur also as a part of a syndrome.;A chromosomal aberration involving FGFR1 may be a cause of stem cell leukemia lymphoma syndrome (SCLL). Translocation t(8;13)(p11;q12) with ZMYM2. SCLL usually presents as lymphoblastic lymphoma in association with a myeloproliferative disorder, often accompanied by pronounced peripheral eosinophilia and/or prominent eosinophilic infiltrates in the affected bone marrow.;A chromosomal aberration involving FGFR1 may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(6;8)(q27;p11) with FGFR1OP. Insertion ins(12;8)(p11;p11p22) with FGFR1OP2. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion proteins FGFR1OP2-FGFR1, FGFR1OP-FGFR1 or FGFR1-FGFR1OP may exhibit constitutive kinase activity and be responsible for the transforming activity.;A chromosomal aberration involving FGFR1 may be a cause of stem cell myeloproliferative disorder (MPD). Translocation t(8;9)(p12;q33) with CEP110. MPD is characterized by myeloid hyperplasia, eosinophilia and T-cell or B-cell lymphoblastic lymphoma. In general it progresses to acute myeloid leukemia. The fusion protein CEP110-FGFR1 is found in the cytoplasm, exhibits constitutive kinase activity and may be responsible for the transforming activity.",NONE,,,,"
"
1ghx_v,4,2.587,0.6468,-0.108766,2,1,0,1,0,0,Prothrombin,BLOOD CLOTTING,THRB_HUMAN,"Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing.","Defects in F2 are the cause of various forms of dysprothrombinemia [MIM:176930].;Genetic variations in F2 may be a cause of susceptibility to ischemic stroke [MIM:601367]; also known as cerebrovascular accident or cerebral infarction. A stroke is an acute neurologic event leading to death of neural tissue of the brain and resulting in loss of motor, sensory and/or cognitive function. Ischemic strokes, resulting from vascular occlusion, is considered to be a highly complex disease consisting of a group of heterogeneous disorders with multiple genetic and environmental risk factors.",Deep vein thrombosis;Thrombocytopenia;Cerebrovascular disease;Wound healing;Ebola virus infection;Bone injury;Cerebrovascular ischemia;Restenosis;Thrombosis;Diabetic foot ulcer;Ischemic heart disease;Marburg virus infection;Myocardial disease;Embolism and thrombosis;Myocardial infarction;Cartilage disease;Thromboembolism;Coronary artery disease;Hemophilia;Blood clotting disorder;Bleeding;Atrial fibrillation;Skin burns;Disseminated intravascular coagulation;Connective tissue disease;Lung embolism;Cardiovascular disease;Sepsis;Angina;Infarction,,,,"
"
1tkr_v,5,3.22,0.644,1.82969,1,2,2,0,0,0,Dipeptidyl peptidase 4,HYDROLASE,DPP4_HUMAN,Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline. Plays a role in T-cell activation.,NONE,Rheumatoid arthritis;Diabetes mellitus;Non-insulin dependent diabetes;Autoimmune disease;Immune disorder,,,,"
"
2zkc_v,4,2.572,0.643,0.0234323,2,1,1,0,0,0,Estrogen-related receptor gamma,NONE,P62508,Orphan receptor that acts as transcription activator in the absence of bound ligand. Binds specifically to an estrogen response element and activates reporter genes controlled by estrogen response elements (By similarity). Induces the expression of PERM1 in the skeletal muscle.,NONE,NONE,,,,"
"
1xdc_v,5,3.208,0.6415,1.43185,2,1,2,0,0,0,"Superoxide dismutase [Mn], mitochondrial",NONE,P04179,Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.,NONE,NONE,,,,"
"
1csb_v,4,2.565,0.6412,-0.143821,1,3,0,0,0,0,Cathepsin B,HYDROLASE (THIOL PROTEASE),CATB_HUMAN,Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Has also been implicated in tumor invasion and metastasis.,NONE,Myocardial infarction;Arthritis;Inflammation;Cancer,,,,"
"
1waw_v,4,2.563,0.6409,-0.159348,1,2,1,0,0,0,Chitotriosidase-1,NONE,Q13231,Involved in chitinase activity,NONE,NONE,,,,"
"
